NUMCPT,NOMCLI,TYPE_CLIENT,SECTEUR_CLIENT,CONSOLIDATION_CLIENT,CODAME,CODGVR,SERVICE_TYPE
207801,"CHARFEDDINE RATEL ET COMPAGNIE ""CRC"" BP121 IMM RATEL CITE MANARA GABES",GENERAL,AGRICULTURE,"CHARFEDDINE  RATEL ET COMPAGNIE ""CRC""",BATIMENT ET TRAVAUX PUBLICS,,
208051,U T H I N A CHEMICAL INDUSTRIES BIR M'CHERGUA GARE,GENERAL,AGRICULTURE,U T H I N A CHEMICAL INDUSTRIES,AUTRES INDUSTRIES CHIMIQUES,,
208121,O T D FERME PILOTE EL ATIZEZ MENZEL BOUZAIENE,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
208131,"GROUPEMENT INTERPROFESSIONNEL DES LEGUMES ""G I L "" 1 RUE IBN RACHIQ LE BELVEDERE TUNIS",GENERAL,AGRICULTURE,"GROUPEMENT INTERPROFESSIONNEL DES LEGUMES ""G I L """,PRODUCTION VEGETALE,,
208161,OFFICE DE LA MARINE MARCHANDE ET DES PORTS -SFAX- PORT DE SFAX,GENERAL,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT,,
208231,O T D EL INTILAKA BENI KHALLED (VERS KORBA) KM3,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
208241,O T D MOHSEN LIMAM EL KRIB,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
208311,S E C A D E N O R D NAASSEN,GENERAL,AGRICULTURE,S E C A D E N O R D,TRANSPORT ROUTIER PARTICULIER (NON MARCH.),,
208331,S O N E D E 23 AVENUE JAWHAR LEL NAHRU MONTFLEURY,GENERAL,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU,,
208331,S O N E D E AVENUE SLIMEN BEN SLIMENE EL MANAR 2,GENERAL,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU,,
208332,S O N E D E AVENUE SLIMEN BEN SLIMENE EL MANAR 2,GENERAL,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU,,
208333,S O N E D E 23 AVENUE JAWHAR LEL NAHRU MONTFLEURY,GENERAL,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU,,
208333,S O N E D E AVENUE SLIMEN BEN SLIMENE EL MANAR 2,GENERAL,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU,,
208334,S O N E D E 23 AVENUE JAWHAR LEL NAHRU MONTFLEURY,GENERAL,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU,,
208334,S O N E D E AVENUE SLIMEN BEN SLIMENE EL MANAR 2,GENERAL,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU,,
208335,S O N E D E AVENUE SLIMEN BEN SLIMENE EL MANAR 2,GENERAL,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU,,
208421,GROUPEMENT DE DISTRIBUTION DE PRESS DISPRESS 23 RUE DU YEMEN TUNIS,GENERAL,AGRICULTURE,GROUPEMENT DE DISTRIBUTION DE PRESS DISPRESS,FAB.DU PAPIER DE L'IMPRIMERIE ET EDITION,,
208441,O T D EL KHAYEM-HACHED BP N:6 BELLI GARE GROMBALIA,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
208491,"ENTREPRISE TUNISIENNE D'ACTIVITE PETROLIERE ""E T A P "" 27 BIS AV KHERREDDINE PACHA TUNIS",GENERAL,AGRICULTURE,"ENTREPRISE TUNISIENNE D'ACTIVITE PETROLIERE ""E T A P """,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
208621,MR FAICEL BEN ZINA 15 RUE DE JEDDAH TUNIS,GENERAL,AGRICULTURE,MR FAICEL BEN ZINA,PRODUCTION VEGETALE,,
208651,HERITIERS HADJ MOHAMED BEN BOUJEMAA OUNI 22 RUE HABIB HADDAD BEJA,GENERAL,AGRICULTURE,HERITIERS HADJ MOHAMED BEN BOUJEMAA OUNI,PRODUCTION VEGETALE,,
208801,O T D BORJ EL AMRI BORDJ EL AMRI,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
208981,OFFICE DE LA MARINE MARCHANDE ET DES PORTS-RADES- PORT DE RADES,GENERAL,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT,,
209101,SOCIETE SODAC 24 RUE BEN SANIOUR TUNIS,GENERAL,AGRICULTURE,SOCIETE SODAC,PRODUCTION VEGETALE,,
209301,M. B. G. RTE KHENIS KM 2.5 Z.I. MONASTIR B P 207,GENERAL,AGRICULTURE,M. B. G.,"SIDER.METALLUR.DES NON FERREUX,FONDERIE",,
209441,COOPERATIVE CENTRALE OLEICOLE 46.AV HABIB BOURGUIBA TUNIS,GENERAL,AGRICULTURE,COOPERATIVE CENTRALE OLEICOLE,FABRICATION D'HUILE ET DES CORPS GRAS,,
209471,"LA SOCIETE OASIS "" GROUPE POULINA "" ROUTE DE SOUSSE KM 12 EZZAHRA",GENERAL,AGRICULTURE,"LA SOCIETE OASIS "" GROUPE POULINA """,COMMERCE,,
209551,CONSERVES MAJOUL DELICIEUSE 38 RUE D'ESPAGNE TUNIS,GENERAL,AGRICULTURE,CONSERVES MAJOUL DELICIEUSE,CONSERVERIES,,
209641,GASS INTERNATIONAL TRADING 16 RUE MOHAMED JAMOUSSI BARDO,GENERAL,AGRICULTURE,GASS INTERNATIONAL TRADING,COMMERCE,,
209662,DAR  ANWAR 25 AVENUE JEAN JAURES  TUNIS,GENERAL,AGRICULTURE,DAR  ANWAR,FAB.DU PAPIER DE L'IMPRIMERIE ET EDITION,,
209671,LAGHA RIDHA DISTRIBUTEUR DE GAZ SISI DAOUED GABES,GENERAL,AGRICULTURE,LAGHA RIDHA DISTRIBUTEUR DE GAZ,COMMERCE,,
209841,CIETE FIORE KM 1 ROUTE AZMOUR MENZEL TEMIME,GENERAL,AGRICULTURE,SOCIETE FIORE,"AUTRES ACTIV.SOCIAUX,CULTURELS,RECREATIFS",,
209911,COMPLEXE AVICOLE ENFIDHA ENFIDHA,GENERAL,AGRICULTURE,COMPLEXE AVICOLE ENFIDHA,PRODUCTION VEGETALE,,
210021,SOCIETE STUPREMAT RUE CHIMIE N° 32 SIDI REZIG MEGRINE,GENERAL,AGRICULTURE,SOCIETE STUPREMAT,COMMERCE,,
210051,AGENCE TAP RUE SLIMEN B. SLIMEN EL MANAR 2 TUNIS,GENERAL,AGRICULTURE,AGENCE TAP,FABRICATION D'ENGRAIE HEXENORE DRT TIMBRE,,
210061,OFFICE NATIONAL DE L'ARTISANAT DEN DEN,GENERAL,AGRICULTURE,OFFICE NATIONAL DE L'ARTISANAT,COMMERCE,,
210111,O T D THIBAR THIBAR,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
210211,O T D AGROCOMBINAT BONNE ENTENTE GAFSA,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
210251,SOCIETE EL AMAL METLAOUI,GENERAL,AGRICULTURE,SOCIETE EL AMAL,COMMERCE,,
210361,"SOCIETE CAP CARTHAGE ROUTE RAS JDIR KM2,5 BEN GUERDANE",GENERAL,AGRICULTURE,SOCIETE CAP CARTHAGE,CONSERVERIES,,
210471,PETROFAC ENERGY DEVELOPMENTS RUE LAC LEMAN LES BERGES DU LAC,GENERAL,AGRICULTURE,PETROFAC ENERGY DEVELOPMENTS,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
210621,ETABLISSEMENT ABDELALI KM 6 RTE DE SOUSSE MEGRINE,GENERAL,AGRICULTURE,ETABLISSEMENT ABDELALI,COMMERCE,,
210741,STE ECOFISH ROUTE ZARZIS KM 10 BEN GUERDENE,GENERAL,AGRICULTURE,STE ECOFISH,AUTRES INDUSTRIES ALIMENTAIRES,,
210811,SOCIETE FLECHE COMMERCIALE RUE 18 JANVIER 1952 IMMEUBLE BLEGUI BEJA,GENERAL,AGRICULTURE,SOCIETE FLECHE COMMERCIALE,COMMERCE,,
210941,SOCIETE M'NARA AGRICULTURE EL M'NARA NASRALLAH,GENERAL,AGRICULTURE,SOCIETE M'NARA AGRICULTURE,PRODUCTION VEGETALE,,
210981,SOCIETE DE MISE EN VALEUR ET DE DEVELOPPEMENT AGRICOLE -EDHRAA 1- 41 AV KHEREDDINE PACHA TUNIS,GENERAL,AGRICULTURE,SOCIETE DE MISE EN VALEUR ET DE DEVELOPPEMENT AGRICOLE,PRODUCTION VEGETALE,,
211051,STE GREATWALL DRILLING COMPANY AFRICA LOGISTICS ZONE FRANCHE ZARZIS,GENERAL,AGRICULTURE,STE GREATWALL DRILLING COMPANY AFRICA LOGISTICS,AUTRES INDUSTRIES DIVERSES,,
211101,SOCIETE TUNISIENNE DES VIANDES 55 AV F . ROOSEVELT LA GOULETTE,GENERAL,AGRICULTURE,SOCIETE TUNISIENNE DES VIANDES,AUTRES INDUSTRIES ALIMENTAIRES,,
211141,"INDUSTRIES AGROALIMENTAIRES ABID ""I2A"" 23 RUE ALI BELHOUANE KAIROUAN",GENERAL,AGRICULTURE,"INDUSTRIES AGROALIMENTAIRES ABID ""I2A""",AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES,,
211241,S I C E M TATAOUINE,GENERAL,AGRICULTURE,S I C E M,COMMERCE,,
211251,P E T R O - S E R V I C E S 5 AV.TAHAR BEN AMMAR MANAR II,GENERAL,AGRICULTURE,P E T R O - S E R V I C E S,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
211281,V I P P LAVORI SPA TUNISIAN BRANCH CITE LES PINS RES.BAIE DU LAC LOT 344 LAC 2,GENERAL,AGRICULTURE,V I P P  LAVORI  SPA TUNISIAN BRANCH,BATIMENT ET TRAVAUX PUBLICS,,
211351,HOTEL RESIDENCE HAMMAMET 72 AV HABIB BOURGUIBA HAMMAMET,GENERAL,AGRICULTURE,HOTEL RESIDENCE HAMMAMET,HOTELLERIE,,
211381,M A N Z I N I COMMUNICATION Z.I. ZARZOUNA,GENERAL,AGRICULTURE,M A N Z I N I    COMMUNICATION,AUTRES INDUSTRIES TEXTILES,,
211401,SOCIETE HAJER VOYAGES ROUTE CHENINI KM 2 TATAOUINE,GENERAL,AGRICULTURE,SOCIETE HAJER VOYAGES,TRANSPORT ROUTIER MARCHANDISE,,
211511,STE FOUDHAILI TOURS AV. 02 MARS 1934 TATAOUINE,GENERAL,AGRICULTURE,STE FOUDHAILI TOURS,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES,,
211711,CLEAN LAUNDRY GROUP SARL APP.28 LOT BAROUNI NADHOR BIZERTE,GENERAL,AGRICULTURE,CLEAN LAUNDRY GROUP  SARL,AUTRES INDUSTRIES TEXTILES,,
211801,"S . M .V .D . A ""ENNOUR"" 108 RUE DE PALESTINE TUNIS",GENERAL,AGRICULTURE,S.M.V.D.A.,PRODUCTION VEGETALE,,
211841,MR NACEUR BEN MED MESSAADI RUE DE MONASTIR TAZARKA NABEUL,GENERAL,AGRICULTURE,MR NACEUR BEN MED MESSAADI,BATIMENT ET TRAVAUX PUBLICS,,
211851,M A R E T A P RUE DU LAC WINDERMERE LES BERGES DU LAC,GENERAL,AGRICULTURE,M A R E T A P,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
211852,M A R E T A P RUE DU LAC WINDERMERE LES BERGES DU LAC,GENERAL,AGRICULTURE,M A R E T A P,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
211861,"C S C E C ""PROJET HOPITAL DE SFAX"" CEINTURE 11 SFAX",GENERAL,AGRICULTURE,"C S C E C ""PROJET HOPITAL DE SFAX""",AUTRES INDUSTRIES CHIMIQUES,,
211901,SOCIETE GENERALE DES BOISSONS ZONE IND. SIDI BOUZID,GENERAL,AGRICULTURE,SOCIETE GENERALE DES BOISSONS,"INDUSTRIES SUCRE,CONFISERIE,CHOCOLATERIE",,
211931,C N S S POLYCLINIQUE SFAX DEBUT ROUTE DE GREMDA SFAX,GENERAL,AGRICULTURE,C N S S POLYCLINIQUE SFAX,ACTIVITES DE SANTE,,
211961,B. T. I. CARREAUX SARL 17 RUE KAAB IBN MALEK EL MENZAH 6,GENERAL,AGRICULTURE,B. T. I. CARREAUX SARL,DIVERS,,
212341,SICODEL RUE 13005 Z.I. KSAR SAID,GENERAL,AGRICULTURE,SICODEL,AUTRES INDUSTRIES TEXTILES,,
212531,S E N D R A P Z.I BIR EL KASSAA RTE DE NAASSEN,GENERAL,AGRICULTURE,S E N D R A P,AUTRES INDUSTRIES TEXTILES,,
212531,SOCIETE PROMOTEX INDUSTRIE SARL Z.I BIR EL KASSAA RTE DE NAASSEN,GENERAL,AGRICULTURE,S E N D R A P,AUTRES INDUSTRIES TEXTILES,,
212681,SOCIETE HANNECARD TUNISIE BP 77 Z.I. ZAGHOUAN,GENERAL,AGRICULTURE,SOCIETE HANNECARD TUNISIE,COMMERCE,,
212711,S M V D A NOUR S.A. 24 RUE DU MERCURE Z.I. BEN AROUS,GENERAL,AGRICULTURE,S.M.V.D.A.,PRODUCTION VEGETALE,,
212761,"SOCIETE DE STOCKAGE DE CARBURANTS AVIATION S.A. ""SSCA"" AV.MED ALI AKID CITE OLYMPIQUE",GENERAL,AGRICULTURE,"SOCIETE DE STOCKAGE DE CARBURANTS AVIATION S.A. ""SSCA""",EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
212831,BRIQUETERIE MODERNE EL AMAL Z. I. HERGLA,GENERAL,AGRICULTURE,BRIQUETERIE MODERNE EL AMAL,BATIMENT ET TRAVAUX PUBLICS,,
213651,C O S M A C 79 AV. DES MARTHYRS SFAX,GENERAL,AGRICULTURE,C O S M A C,COMMERCE,,
213691,SANI SUD RTE GABES KM 1.5 SFAX,GENERAL,AGRICULTURE,SANI  SUD,COMMERCE,,
